Image_Url, Item_Name, Username, Rating_Score (Max Score is 5), Review_Location, Review_Date 
https://m.media-amazon.com/images/I/41YNaNTqJoL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black,AmazonCustomer,1.0 ,the United States ,10 November 2021
https://m.media-amazon.com/images/I/41YNaNTqJoL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black,Peter,4.0 ,the United States ,23 January 2022
https://m.media-amazon.com/images/I/41YNaNTqJoL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black,jsthao,5.0 ,the United States ,8 November 2021
https://m.media-amazon.com/images/I/41YNaNTqJoL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black,William F. Clement,5.0 ,the United States ,23 January 2022
https://m.media-amazon.com/images/I/41YNaNTqJoL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black,J S,5.0 ,the United States ,4 November 2021
https://m.media-amazon.com/images/I/41YNaNTqJoL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black,Randy,3.0 ,the United States ,12 November 2021
https://m.media-amazon.com/images/I/41YNaNTqJoL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black,Skinless,5.0 ,the United States ,3 December 2021
https://m.media-amazon.com/images/I/41YNaNTqJoL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black,Aceman,4.0 ,the United States ,1 November 2021
https://m.media-amazon.com/images/I/41YNaNTqJoL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black,J. C. a Go Go,4.0 ,the United States ,9 November 2021
https://m.media-amazon.com/images/I/41YNaNTqJoL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black,Pedro Massango,3.0 ,the United States ,10 December 2021
https://m.media-amazon.com/images/I/41YNaNTqJoL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black,Capt'n George,1.0 ,the United States ,9 November 2021
https://m.media-amazon.com/images/I/41YNaNTqJoL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black,Patrick Hopper,1.0 ,the United States ,10 January 2022
https://m.media-amazon.com/images/I/41YNaNTqJoL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black,Kaitlin E. O. Weber,5.0 ,the United States ,11 November 2021
https://m.media-amazon.com/images/I/41YNaNTqJoL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 6 – 5G Android Phone - Unlocked Smartphone with Wide and Ultrawide Lens - 128GB - Stormy Black,Jack Carroll,5.0 ,the United States ,21 January 2022
