product_url, image_url, item_name, item_price, average_rating (Max Score is 5), number_of_ratings 
https://www.amazon.sg/Real-Food-Dietitians-Gluten-Free-Grain-Free/dp/1982178353/ref=sr_1_44?keywords=food&qid=1651227710&sr=8-44,https://m.media-amazon.com/images/I/712r8uuWw+L._AC_UL320_.jpg,The Real Food Dietitians: The Real Food Table: 100 Easy & Delicious Mostly Gluten-Free| Grain-Free| and Dairy-Free Recipes for Every Day: A Cookbook,45.24,4.7 ,86
https://www.amazon.sg/Pro-Plan-Salmon-Formula-Sensitive/dp/B083BV5YVX/ref=sr_1_45?keywords=food&qid=1651227710&sr=8-45,https://m.media-amazon.com/images/I/81mdsRJHKZL._AC_UL320_.jpg,Pro Plan Small and Mini Adult Dog Food Salmon Formula For Sensitive Skin And Coat| 2.5 kg,,,
https://www.amazon.sg/Women-Food-Hormones-Hormonal-Yourself/dp/0358345413/ref=sr_1_46?keywords=food&qid=1651227710&sr=8-46,https://m.media-amazon.com/images/I/61bw0zyg-EL._AC_UL320_.jpg,Women| Food| And Hormones: A 4-Week Plan to Achieve Hormonal Balance| Lose Weight| and Feel Like Yourself Again,35.18,4.1 ,370
https://www.amazon.sg/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.c4b77d79-a475-1cb1-df12-33a745dbf7c3%26ref_%3Ddvm_src_ret_sg_xx_s&page-type-id=B08KCDKSCM&ref=sr_1_47&keywords=food&qid=1651227710&sr=8-47,https://m.media-amazon.com/images/I/91V+zGSyhdL._AC_UL320_.jpg,James May: Our Man In Japan - Season 1,,,
https://www.amazon.sg/Monocle-Book-Nordics-exploration-business/dp/0500971218/ref=sr_1_48?keywords=food&qid=1651227710&sr=8-48,https://m.media-amazon.com/images/I/51BaqU-7gVL._AC_UL320_.jpg,The Monocle Book of the Nordics: An exploration of design| business| food & fashion,,,
https://www.amazon.sg/Food-Lab-Cooking-Through-Science/dp/0393081087/ref=sr_1_49?keywords=food&qid=1651227710&sr=8-49,https://m.media-amazon.com/images/I/51SeYOCdoLL._AC_UL320_.jpg,The Food Lab: Better Home Cooking Through Science,57.82,4.9 ,7'010
https://www.amazon.sg/KidKraft-Childrens-Espresso-Coffee-Set/dp/B00W61JJSK/ref=sr_1_50?keywords=food&qid=1651227710&sr=8-50,https://m.media-amazon.com/images/I/71r4GyToJqL._AC_UL320_.jpg,KidKraft Children's Espresso Coffee Set - Role Play Toys for The Kitchen| Play Kitchen Accessories| Gift for Ages 3+,34.49,4.3 ,209
https://www.amazon.sg/Corelle-Coordinates-Reston-Lloyd-6-Piece/dp/B00DU4MKOC/ref=sr_1_51?keywords=food&qid=1651227710&sr=8-51,https://m.media-amazon.com/images/I/81qdKg0rzdL._AC_UL320_.jpg,Corelle Coordinates by Reston Lloyd 6-Piece Enamel on Steel Bowl/Storage Set| Happy Days,32.42,4.1 ,135
https://www.amazon.sg/Hape-E3103B-Gourmet-Kitchen-Accessories/dp/B006WZLCZ4/ref=sr_1_52?keywords=food&qid=1651227710&sr=8-52,https://m.media-amazon.com/images/I/81e6xUmIG8L._AC_UL320_.jpg,Hape E3103B Gourmet Play Kitchen Starter Accessories Wooden Play Set White,36.47,5.0 ,1
https://www.amazon.sg/Dressing-Container-Microwave-Dishwasher-WP-PDR-CH/dp/B07XYMVDKB/ref=sr_1_53?keywords=food&qid=1651227710&sr=8-53,https://m.media-amazon.com/images/I/311Hs0ed3PL._AC_UL320_.jpg,W&P Porter Dressing Container w/Lid |Charcoal 1.5 Ounces (Pack of 2) | Leak & Spill Proof| Salad Dressing| Salt| Toppings| Food Storage| Airtight| Microwave and Dishwasher Safe| BPA-Free| (WP-PDR-CH),27.38,4.7 ,298
https://www.amazon.sg/Inkbird-Bluetooth-Thermometer-Wireless-Barbecue/dp/B076QDC5VL/ref=sr_1_54?keywords=food&qid=1651227710&sr=8-54,https://m.media-amazon.com/images/I/414ZhXW62ZL._AC_UL320_.jpg,Inkbird Bluetooth Grill BBQ Meat Thermometer with 4 Probes Digital Wireless Grill Thermometer| Timer| Alarm|150 ft Barbecue Cooking Kitchen Food Meat Thermometer for Smoker| Oven| Drum,74.68,4.5 ,8'243
https://www.amazon.sg/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.2e3edcaa-40ac-448f-8f17-9944a3ae5d4d%26ref_%3Ddvm_src_ret_sg_xx_s&page-type-id=B09GXDLX31&ref=sr_1_55&keywords=food&qid=1651227710&sr=8-55,https://m.media-amazon.com/images/I/91vqE+mU0SL._AC_UL320_.jpg,Dinner Club,,,
https://www.amazon.sg/Wellness-CORE-Natural-Turkey-4-Pound/dp/B00F8GXR38/ref=sr_1_56?keywords=food&qid=1651227710&sr=8-56,https://m.media-amazon.com/images/I/71JjPEAS9JL._AC_UL320_.jpg,Wellness CORE Natural Grain Free Dry Dog Food| Wild Game Duck| Turkey| Boar & Rabbit| 4-Pound Bag,37.22,4.6 ,188
https://www.amazon.sg/Hipp-Organic-Carrot-Potato-Salmon/dp/B07LBFDQ8G/ref=sr_1_53?keywords=food&qid=1651227712&sr=8-53,https://m.media-amazon.com/images/I/71jbNdcV0TS._AC_UL320_.jpg,Hipp Organic Carrot W Potato and Wild Salmon| 190g,,,
https://www.amazon.sg/Augason-Farms-Whole-Egg-Product/dp/B0096I5DJU/ref=sr_1_54?keywords=food&qid=1651227712&sr=8-54,https://m.media-amazon.com/images/I/81oMSfJ2uXL._AC_UL320_.jpg,Augason Farms Whole Egg Product 33 oz #10 Can,61.50,4.7 ,5'850
https://www.amazon.sg/Halo-36026-Holistic-Garden-Recipe/dp/B00BACFRD2/ref=sr_1_55?keywords=food&qid=1651227712&sr=8-55,https://m.media-amazon.com/images/I/71WiJKdp21L._AC_UL320_.jpg,Halo 36026 Adult Dog Holistic Garden of Vegan Recipe Dry Dog Food| 4lb,40.37,4.5 ,898
https://www.amazon.sg/Maison-Grand-Esprit-Miraculeuse-Bordeaux/dp/B07DPSD6KB/ref=sr_1_56?keywords=food&qid=1651227712&sr=8-56,https://m.media-amazon.com/images/I/319j7o+ZFgL._AC_UL320_.jpg,Maison de Grand Esprit | La Miraculeuse Bordeaux 2018 | Red Wine| 750ml,29.50,5.0 ,2
https://www.amazon.sg/Wellness-Indoor-Deboned-Chicken-Turkey/dp/B06XB33BLF/ref=sr_1_57?keywords=food&qid=1651227712&sr=8-57,https://m.media-amazon.com/images/I/81ryZYE0WFL._AC_UL320_.jpg,Wellness CORE Indoor Deboned Chicken| Turkey & Chicken Meals Dry Cat Food 5lb,49.90,4.5 ,824
https://www.amazon.sg/Cesar-Dog-Food-Lamb-100g/dp/B07PJDZMJV/ref=sr_1_58?keywords=food&qid=1651227712&sr=8-58,https://m.media-amazon.com/images/I/71OqMhAnmPL._AC_UL320_.jpg,Cesar Dog Food Wet Food Lamb 100g | (box of 24),,,
https://www.amazon.sg/Taste-Wild-TOW9058-Formula-Venison/dp/B0153VMYJA/ref=sr_1_59?keywords=food&qid=1651227712&sr=8-59,https://m.media-amazon.com/images/I/812jF0QNTaL._AC_UL320_.jpg,Taste of the Wild TOW9058 Pine Forest Canine Formula with Venison & Legumes| 2kg,34.90,4.7 ,1'008
https://www.amazon.sg/Wellness-CORE-Natural-Original-Chicken/dp/B001BOXBAA/ref=sr_1_60?keywords=food&qid=1651227712&sr=8-60,https://m.media-amazon.com/images/I/71nwFkaW7yL._AC_UL320_.jpg,Wellness CORE Natural Grain Free Dry Dog Food| Original Turkey & Chicken| 4-Pound Bag,37.70,4.6 ,2'734
https://www.amazon.sg/Sheba-Food-Tuna-Prawn-Jelly/dp/B00UY803IM/ref=sr_1_61?keywords=food&qid=1651227712&sr=8-61,https://m.media-amazon.com/images/I/61KriG+WSuL._AC_UL320_.jpg,Sheba Can Cat Food Wet Food Tuna with Prawn in Jelly 85g (Pack of 24),33.60,4.0 ,1
https://www.amazon.sg/Diamond-DCA9240-Sensitive-Formula-3-6kg/dp/B01MA65MA8/ref=sr_1_62?keywords=food&qid=1651227712&sr=8-62,https://m.media-amazon.com/images/I/61JNLWh7prL._AC_UL320_.jpg,Diamond Care DCA9240 Sensitive Skin Formula| 3.6kg,50.90,4.4 ,157
https://www.amazon.sg/INSTINCT-Original-Grain-Free-Recipe-Salmon/dp/B06XDR7NVX/ref=sr_1_63?keywords=food&qid=1651227712&sr=8-63,https://m.media-amazon.com/images/I/61SPt8U-6RL._AC_UL320_.jpg,INSTINCT Original Grain-Free Recipe with Real Salmon Dry Cat Food| 4.5lb,51.20,4.7 ,3'141
https://www.amazon.sg/Taste-Wild-TOW2596-Wetlands-Formula/dp/B019RIYKPQ/ref=sr_1_64?keywords=food&qid=1651227712&sr=8-64,https://m.media-amazon.com/images/I/51Vzc3yrYSL._AC_UL320_.jpg,Taste of the Wild TOW2596 Wetlands Canine Formula with Roasted Fowl| 2kg,32.07,4.6 ,152
https://www.amazon.sg/PURINA-ONE-Indoor-Advantage-Turkey/dp/B0018CLOY0/ref=sr_1_65?keywords=food&qid=1651227712&sr=8-65,https://m.media-amazon.com/images/I/71QQUBpxXIS._AC_UL320_.jpg,PURINA ONE Indoor Advantage Dry Cat Food| Turkey| 1.59kg,18.90,4.8 ,4'339
https://www.amazon.sg/Wellness-Natural-Original-Chicken-8839/dp/B06XB394B3/ref=sr_1_66?keywords=food&qid=1651227712&sr=8-66,https://m.media-amazon.com/images/I/81XhP9ng2oL._AC_UL320_.jpg,Wellness Core Natural Grain Free Dry Cat Food| Original Turkey & Chicken Recipe| 5-Pound Bag|8839,49.90,4.5 ,494
https://www.amazon.sg/NutraGold-NGH2377-WhiteFish-Potato-2-25kg/dp/B07732VS3J/ref=sr_1_67?keywords=food&qid=1651227712&sr=8-67,https://m.media-amazon.com/images/I/71cDUiE5J5L._AC_UL320_.jpg,NutraGold NGH2377 Grain Free WhiteFish & Sweet Potato Dog| 2.25kg,24.95,5.0 ,2
https://www.amazon.sg/Hills-Science-Puppy-Small-Bites/dp/B08DS8NVVX/ref=sr_1_68?keywords=food&qid=1651227712&sr=8-68,https://m.media-amazon.com/images/I/41hrZY5a5NS._AC_UL320_.jpg,Hill's Science Diet Puppy Small Bites Dry Dog Food| 12kg,171.00,3.0 ,1
https://www.amazon.sg/Wellness-CORE-Natural-Chicken-4-Pound/dp/B008J7G1QI/ref=sr_1_73?keywords=food&qid=1651227712&sr=8-73,https://m.media-amazon.com/images/I/71cJ7rV02fL._AC_UL320_.jpg,Wellness CORE Natural Dry Grain Free Small Breed Dog Food| Turkey & Chicken| 4-Pound Bag,39.35,4.6 ,1'722
https://www.amazon.sg/Lanka-Food-Serendipity-Tama-Carey/dp/1743797257/ref=sr_1_74?keywords=food&qid=1651227712&sr=8-74,https://m.media-amazon.com/images/I/91QNvRJvcqL._AC_UL320_.jpg,Lanka Food: Serendipity & Spice,47.08,5.0 ,1
https://www.amazon.sg/Real-Food-Pregnancy-Prenatal-Nutrition/dp/0986295043/ref=sr_1_75?keywords=food&qid=1651227712&sr=8-75,https://m.media-amazon.com/images/I/81IZ5KU3FoL._AC_UL320_.jpg,Real Food for Pregnancy: The Science and Wisdom of Optimal Prenatal Nutrition,38.67,4.7 ,1'828
https://www.amazon.sg/Street-Food-Guide-Utopia/dp/B09QP3MD9D/ref=sr_1_76?keywords=food&qid=1651227712&sr=8-76,https://m.media-amazon.com/images/I/71NiB8GHrvL._AC_UL320_.jpg,The Street Food Guide of Utopia,,,
https://www.amazon.sg/Microencapsulation-Food-Industry-Practical-Implementation/dp/0128216832/ref=sr_1_77?keywords=food&qid=1651227712&sr=8-77,https://m.media-amazon.com/images/I/419eElRQLdL._AC_UL320_.jpg,Microencapsulation in the Food Industry: A Practical Implementation Guide,,,
https://www.amazon.sg/Taste-My-Life-Through-Food/dp/1982168013/ref=sr_1_78?keywords=food&qid=1651227712&sr=8-78,https://m.media-amazon.com/images/I/71xPLm2FenL._AC_UL320_.jpg,Taste: My Life Through Food,27.42,4.8 ,2'117
https://www.amazon.sg/Picture-Perfect-Food-Photography-Bite-Sized/dp/1645672557/ref=sr_1_79?keywords=food&qid=1651227712&sr=8-79,https://m.media-amazon.com/images/I/A1QhrrgU6-L._AC_UL320_.jpg,Picture Perfect Food: Master the Art of Food Photography with 52 Bite-Sized Tutorials,24.37,4.8 ,145
https://www.amazon.sg/Singapore-Cooking-Fabulous-Recipes-Capital/dp/0804854505/ref=sr_1_80?keywords=food&qid=1651227712&sr=8-80,https://m.media-amazon.com/images/I/91CZg6HvnPL._AC_UL320_.jpg,Singapore Cooking: Fabulous Recipes from Asia's Food Capital,23.79,4.7 ,27
https://www.amazon.sg/Feast-Your-Eyes-Food-Encyclopedia/dp/1419752863/ref=sr_1_81?keywords=food&qid=1651227712&sr=8-81,https://m.media-amazon.com/images/I/71N0jnlkt8L._AC_UL320_.jpg,Feast Your Eyes on Food: An Encyclopedia of More Than 1|000 Delicious Things to Eat,43.09,4.2 ,13
https://www.amazon.sg/Vietnamese-Food-Any-Day-Recipes/dp/0399580352/ref=sr_1_82?keywords=food&qid=1651227712&sr=8-82,https://m.media-amazon.com/images/I/A1YOcT33-KL._AC_UL320_.jpg,Vietnamese Food Any Day: Simple Recipes for True| Fresh Flavors,30.73,4.6 ,739
https://www.amazon.sg/How-Draw-Anything-Anytime-illustrations/dp/0804853800/ref=sr_1_83?keywords=food&qid=1651227712&sr=8-83,https://m.media-amazon.com/images/I/91hR+-hPwDL._AC_UL320_.jpg,How to Draw Anything Anytime: A Beginner's Guide to Cute and Easy Doodles (over 1|000 illustrations),18.75,4.7 ,12
