Image_Url, Item_Name, Item_Price, Average_Rating, Number_Of_Ratings
https://m.media-amazon.com/images/I/616ugoD9VYL._AC_UL320_.jpg,The Data Book: Collection and Management of Research Data,S$76.97,5.0 ,3
https://m.media-amazon.com/images/I/71QE7OW-WCS._AC_UL320_.jpg,Data Science for Beginners: A Comprehensive Guide to Essentials and Principles of Data Science,S$39.98,,
https://m.media-amazon.com/images/I/71JVukj1xzS._AC_UL320_.jpg,Data Visualization and Data Analysis: The Ultimate 2021 Guide to Learn Machine Learning| Predictive Analysis| and Foundational Data Science Technologies.,S$5.99,,
https://m.media-amazon.com/images/I/61VAEfXDsGL._AC_UL320_.jpg,Heard In Data Science Interviews: Over 650 Most Commonly Asked Interview Questions & Answers,S$70.65,3.2 ,41
https://m.media-amazon.com/images/I/61Dugxq3rdL._AC_UL320_.jpg,Data Science Manager Notebook| Professional Journal| Office Writing Notebook| Daily Notes & Action Items Notebook| 140 pages| 8.5” x 11”| Glossy cover,S$24.98,,
https://m.media-amazon.com/images/I/61Yj7Q7kMKL._AC_UL320_.jpg,Data Science Lead (Product Analytics) Notebook| Professional Journal| Office Writing Notebook| Daily Notes & Action Items Notebook| 140 pages| 8.5” x 11”| Glossy cover,S$24.98,,
https://m.media-amazon.com/images/I/81ppbsqIVCL._AC_UL320_.jpg,Data Science Para Leigos,S$86.20,4.5 ,27
https://m.media-amazon.com/images/I/61qn0sroQFL._AC_UL320_.jpg,Data Science Para Negócios. O que Você Precisa Saber Sobre Mineração de Dados e Pensamento Analítico de Dados,S$77.31,4.7 ,449
https://m.media-amazon.com/images/I/613vbmQCwFL._AC_UL320_.jpg,Data Visualization with Excel Dashboards and Reports,S$41.55,4.2 ,23
https://m.media-amazon.com/images/I/611LSmsnR2S._AC_UL320_.jpg,The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling,S$59.64,4.6 ,294
https://m.media-amazon.com/images/I/71zsG4kur9L._AC_UL320_.jpg,Computer Science Distilled: Learn the Art of Solving Computational Problems,S$42.02,4.4 ,495
https://m.media-amazon.com/images/I/81JmcxbkmuL._AC_UL320_.jpg,Better Data Visualizations: A Guide for Scholars| Researchers| and Wonks,S$47.35,4.4 ,96
https://m.media-amazon.com/images/I/718CFM7MFgL._AC_UL320_.jpg,Introduction to Computation and Programming Using Python| third edition: With Application to Computational Modeling and Understanding Data,S$65.00,4.6 ,41
https://m.media-amazon.com/images/I/81YHoGwzyvL._AC_UL320_.jpg,Bayesian Data Analysis,S$129.86,4.7 ,159
https://m.media-amazon.com/images/I/71nFmD4JdDL._AC_UL320_.jpg,Data Science From Scratch: The #1 Data Science Guide For Everything A Data Scientist Needs To Know: Python| Linear Algebra| Statistics| Coding| Applications| Neural Networks| And Decision Trees,S$36.69,3.2 ,7
https://m.media-amazon.com/images/I/71KKX+pBFYL._AC_UL320_.jpg,Data Pipelines with Apache Airflow,S$63.83,4.8 ,12
https://m.media-amazon.com/images/I/519M8D8yXNL._AC_UL320_.jpg,Show me the Data: Note Book for Data Collection- Gifts for ABA Therapist| Statisticians| Data Analysts| Scientists| Mathematicians| BCBA|110 page ... Journal 6" x 9": Lined notebook/gift journal,S$12.40,,
https://m.media-amazon.com/images/I/71g9FxeEprL._AC_UL320_.jpg,Build A Career in Data Science,S$57.86,4.7 ,44
https://m.media-amazon.com/images/I/61uRpcdPhNL._AC_UL320_.jpg,Introduction to Algorithms,S$79.44,4.4 ,1'484
https://m.media-amazon.com/images/I/61Fy0RW19GL._AC_UL320_.jpg,Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python| R| and command-line tools,S$55.59,4.6 ,6
https://m.media-amazon.com/images/I/51kEV9eK2FL._AC_UL320_.jpg,Data Science: The Executive Summary - A Technical Book for Non-Technical Professionals,S$94.23,,
https://m.media-amazon.com/images/I/714Q9WDBk9L._AC_UL320_.jpg,Data Pipelines Pocket Reference: Moving and Processing Data for Analytics,S$29.17,4.6 ,50
https://m.media-amazon.com/images/I/61nR4w8iITL._AC_UL320_.jpg,There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,S$14.46,,
https://m.media-amazon.com/images/I/61pcvCicGNL._AC_UL320_.jpg,There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,S$14.32,,
https://m.media-amazon.com/images/I/517uvbXhm6L._AC_UL320_.jpg,There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,S$14.45,,
https://m.media-amazon.com/images/I/514heSESAJL._AC_UL320_.jpg,There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,S$14.45,,
https://m.media-amazon.com/images/I/51ZuD9nMhqL._AC_UL320_.jpg,There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,S$14.46,,
https://m.media-amazon.com/images/I/61miPP9LCDL._AC_UL320_.jpg,There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,S$14.45,,
https://m.media-amazon.com/images/I/51PGdFWYHoL._AC_UL320_.jpg,There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,S$14.45,,
https://m.media-amazon.com/images/I/51JBg3GpRSL._AC_UL320_.jpg,There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,S$14.46,,
https://m.media-amazon.com/images/I/51Cdhw7PxxL._AC_UL320_.jpg,There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,S$14.45,,
https://m.media-amazon.com/images/I/81zeooot0EL._AC_UL320_.jpg,Modern Data Science with R,S$117.58,3.8 ,7
https://m.media-amazon.com/images/I/81R5BmGtv-L._AC_UL320_.jpg,Hands-on Machine Learning with Scikit-Learn| Keras| and TensorFlow: Concepts| Tools| and Techniques to Build Intelligent Systems,S$52.46,4.7 ,2'144
https://m.media-amazon.com/images/I/61t-NzTMvUL._AC_UL320_.jpg,What I Need Today Is Lots Lots Of Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.52,,
https://m.media-amazon.com/images/I/51BRPRZa5aL._AC_UL320_.jpg,There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,S$14.46,,
https://m.media-amazon.com/images/I/41m4zC62AeL._AC_UL320_.jpg,The basics rstudio for data science: Start Writing Code to Wrangle| Analyze| and Visualize Data with Rstudio,S$29.78,4.0 ,2
https://m.media-amazon.com/images/I/51Cdhw7PxxL._AC_UL320_.jpg,There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,S$14.45,,
https://m.media-amazon.com/images/I/81zeooot0EL._AC_UL320_.jpg,Modern Data Science with R,S$117.58,3.8 ,7
https://m.media-amazon.com/images/I/81R5BmGtv-L._AC_UL320_.jpg,Hands-on Machine Learning with Scikit-Learn| Keras| and TensorFlow: Concepts| Tools| and Techniques to Build Intelligent Systems,S$52.46,4.7 ,2'144
https://m.media-amazon.com/images/I/61t-NzTMvUL._AC_UL320_.jpg,What I Need Today Is Lots Lots Of Data: Dot Grid Page Notebook Gift For Computer Data Science Related People.,S$16.52,,
https://m.media-amazon.com/images/I/51BRPRZa5aL._AC_UL320_.jpg,There Are Two Types Of People In The World Those Who Can Extrapolate From Incomplete Data: Computer Data Science Gift For Scientist,S$14.46,,
https://m.media-amazon.com/images/I/41m4zC62AeL._AC_UL320_.jpg,The basics rstudio for data science: Start Writing Code to Wrangle| Analyze| and Visualize Data with Rstudio,S$29.78,4.0 ,2
https://m.media-amazon.com/images/I/91lrhlw-XcL._AC_UL320_.jpg,Python for Data Analysis| 2e: Data Wrangling with Pandas| Numpy| and Ipython,S$63.61,4.6 ,1'041
https://m.media-amazon.com/images/I/51Ht63qpkeL._AC_UL320_.jpg,Data Science on the Google Cloud Platform: Implementing End-To-End Real-Time Data Pipelines: From Ingest to Machine Learning,S$95.79,,
https://m.media-amazon.com/images/I/81GZzXczt1L._AC_UL320_.jpg,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,S$20.24,4.5 ,1'504
https://m.media-amazon.com/images/I/61PJj4c1RJL._AC_UL320_.jpg,Data Science Graduate Guru Notebook: Customized 100 Page Lined Journal Gift For A Busy Data Science Graduate,S$14.45,,
https://m.media-amazon.com/images/I/41o2k78BtxL._AC_UL320_.jpg,Data Mining with R: Learning with Case Studies| Second Edition,S$140.68,4.6 ,6
https://m.media-amazon.com/images/I/512Xq9XziWL._AC_UL320_.jpg,Data King: Computer Data Science Gift For Scientist (120 Page Journal Notebook),S$14.45,,
https://m.media-amazon.com/images/I/51J-Bg3BIQL._AC_UL320_.jpg,Data Queen: Computer Data Science Gift For Scientist (120 Page Journal Notebook),S$14.45,,
https://m.media-amazon.com/images/I/61CnR5gGSwS._AC_UL320_.jpg,Graph Machine Learning: Take graph data to the next level by applying machine learning techniques and algorithms,S$71.35,4.0 ,12
https://m.media-amazon.com/images/I/81HCD7AkTKL._AC_UL320_.jpg,Practical SQL| 2nd Edition: A Beginner's Guide to Storytelling with Data,S$49.35,5.0 ,8
https://m.media-amazon.com/images/I/71r4imMDTbL._AC_UL320_.jpg,Machine Learning for Algorithmic Trading: Predictive models to extract signals from market and alternative data for systematic trading strategies with Python| 2nd Edition,S$75.16,4.4 ,116
https://m.media-amazon.com/images/I/71SaKd5egWL._AC_UL320_.jpg,There Are Two Types of People in the World Those Who Can Extrapolate from Incomplete Data: Computer Data Science Gift For Scientist Dot Grid Notebook,S$14.45,,
https://m.media-amazon.com/images/I/61e3hcTh1eS._AC_UL320_.jpg,Data Science for Beginners: The Ultimate Guide to Data Analysis| Data Science| Python Machine Learning| and Big Data,S$6.68,,
https://m.media-amazon.com/images/I/71OjrxdHA-L._AC_UL320_.jpg,Data Analytics Made Easy: Analyze and present data to make informed decisions without writing any code,S$51.52,4.7 ,4
https://m.media-amazon.com/images/I/51VqQF1JtKL._AC_UL320_.jpg,Data is Life: Blanked Lined Journal Gift For Computer Data Science Related People.,S$26.81,,
https://m.media-amazon.com/images/I/61zVrRHFVDL._AC_UL320_.jpg,Data Or It Didn't Happen: Blanked Lined Journal Gift For Computer Data Science Related People.,S$16.41,,
https://m.media-amazon.com/images/I/61E9Wn1sUgL._AC_UL320_.jpg,Data Nerd: Blanked Lined Journal Gift For Computer Data Science Related People.,S$26.99,,
https://m.media-amazon.com/images/I/51OmGxSvrxL._AC_UL320_.jpg,Data Legend: Blanked Lined Journal Gift For Computer Data Science Related People.,S$26.99,,
https://m.media-amazon.com/images/I/61FLzOfx58L._AC_UL320_.jpg,Data-Is My Jam: Blanked Lined Journal Gift For Computer Data Science Related People.,S$26.81,,
https://m.media-amazon.com/images/I/51YMNKLqanL._AC_UL320_.jpg,Data And Coffee: Blanked Lined Journal Gift For Computer Data Science Related People.,S$27.01,,
https://m.media-amazon.com/images/I/71+jJA6RzwL._AC_UL320_.jpg,Big Data: Information in the Digital World with Science Activities for Kids,S$39.52,4.4 ,4
https://m.media-amazon.com/images/I/81XFHAihaaL._AC_UL320_.jpg,Data Science: Theory| Analysis and Applications,S$136.98,,
https://m.media-amazon.com/images/I/71pG+xSGy-L._AC_UL320_.jpg,Data Science: Concepts and Practice,S$87.29,4.6 ,6
https://m.media-amazon.com/images/I/81xkjj+FAfL._AC_UL320_.jpg,Learning SQL: Generate| Manipulate| and Retrieve Data,S$45.18,4.6 ,166
https://m.media-amazon.com/images/I/61iBvWAOjxL._AC_UL320_.jpg,The Chief Data Officer Handbook for Data Governance,S$29.16,4.2 ,48
https://m.media-amazon.com/images/I/614Bn8NS+eL._AC_UL320_.jpg,Data Science Leader Guru Notebook: Customized 100 Page Lined Journal Gift For A Busy Data Science Leader,S$14.36,,
