Image_Url, Item_Name, Item_Price, Average_Rating (Max Score is 5), Number_Of_Ratings 
https://m.media-amazon.com/images/I/91XppR5umQL._AC_UL320_.jpg,Dremel 710-08 All-Purpose Rotary Accessory Kit| 160-Piece,S$46.74,4.8 ,3'260
https://m.media-amazon.com/images/I/71Z4vup68PL._AC_UL320_.jpg,ProCase Accessories Bag Organizer| Universal Electronics Travel Gadgets Carrying Case Pouch for Charger USB Cables SD Memory Cards Earphone Flash Hard Drive -Grey,S$16.99,4.6 ,694
https://m.media-amazon.com/images/I/81K9E7l3kfL._AC_UL320_.jpg,BLACK+DECKER BDA91109 Combination Accessory Set| 109-Piece,S$38.39,4.7 ,9'162
https://m.media-amazon.com/images/I/811ptIY+BSL._AC_UL320_.jpg,Zeikos Deluxe Padded Soft Medium Camera Case,S$17.99,4.3 ,14
https://m.media-amazon.com/images/I/81QEdTlWh7L._AC_UL320_.jpg,Ohuhu 31-Pcs Bbq Tool Set| Grill Accessories Set Heavy Duty Stainless Steel| Barbecue Grill Utensils With Aluminium Case| Grilling Tools With Barbecue Claws Set For Men Birthday Christmas,S$49.99,4.6 ,772
https://m.media-amazon.com/images/I/61E3JcnKvCL._AC_UL320_.jpg,Rottweiler Grandma Rottie Dog Mom Funny Mother´s Day Notebook: Rottweiler Notebook Journal - Blank Wide Ruled Paper - Funny Rottweilers Accessories ... - Rottie Dog Gifts for Women| Girls and Kids,,,
https://m.media-amazon.com/images/I/81n3db8YE+L._AC_UL320_.jpg,Sweet Home Collection Bathroom Accessories Collection Unique Decorative Beautiful Designs Bath Décor| 4 Piece Set| Parker,S$50.78,4.4 ,1'517
https://m.media-amazon.com/images/I/81CoJUXR-cL._AC_UL320_.jpg,Mumba Dockable Case for Nintendo Switch OLED 2021| [Blade Series] TPU Grip Protective Cover Accessories Compatible with Nintendo Switch OLED 7 Inch and Joy-Con Controller (Black),S$39.00,4.5 ,811
https://m.media-amazon.com/images/I/61B9RihsZlL._AC_UL320_.jpg,Carrying Case for Nintendo Switch| 6 in 1 Black Protective Hard Portable Travel Carry Case Shell Pouch with 2 Pack Screen Protector for Nintendo Switch Console & Accessories,S$23.99,5.0 ,1
https://m.media-amazon.com/images/I/91a9i39nX4L._AC_UL320_.jpg,Lux Accessories Set (3pc) July 4th American Flag Print Hair Elastics and Ties Ponytails,,,
