Image_Url, Item_Name, Username, Rating_Score, Review_Description, Review_Date 
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),Francisco P jr,1.0 ,This is a very good looking phone. However I was forced to return it after 2months. The baterry would not charge' and this rendered the phone useless. Amazon returned my $$ less a 20% fee. And I purchased something else.,Reviewed in the United States on 27 December 2019
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),Tugi Balboa,5.0 ,If your expectation is not so high' if you want to get comfortable and speedy android device' if you are not looking for a fancy device to show off' if you want to get what you pay' this is your solution = umidigi A5 pro,Reviewed in the United States on 9 September 2019
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),John_1,1.0 ,Total Junk....,Reviewed in the United States on 11 September 2019
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),Makobe,2.0 ,It's a piece of s*** the battery with 60% just went dead could not recharge the phone could not jump the phone cannot do anything sorry your past 30 days can't take it back so I'm just $145 out in the wind stay away from this thing,Reviewed in the United States on 9 April 2020
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),Tim Sigler,4.0 ,The phone was great at a great price. Every that was advertised. The only issue which may have been my mistake is that it will not work with the Sprint network. I found this out after contacting Sprint directly,Reviewed in the United States on 24 August 2019
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),Becky,1.0 ,Awesome phone' but CHECK compatibility with your carrier!!  Would not work with Verizon or Xfinity wireless :(,Reviewed in the United States on 4 March 2020
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),Robin,4.0 ,Just got it today.  Better than I expected. Pretty responsive and quick.  The screen is very clear' not super amazing like a1000 dollar one but great for what you pay. Very pleased so far.,Reviewed in the United States on 7 January 2020
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),rachel,4.0 ,My son purchased this phone quite some time ago. It has not missed a beat' it works perfectly and makes me wish i had got this instead of getting sucked into an expensive phone plan.It's case is mirrored and it looks stunning.,Reviewed in the United States on 17 March 2020
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),Holly ogorman,4.0 ,It works' the back of the phone looks cool but the processor and camera aren't the best. so if you use apps that takes a lot of processing power I wouldn't recommend this phone. Edit: they did send me a new phone!,Reviewed in the United States on 27 October 2019
https://m.media-amazon.com/images/I/419sppTfYEL._AC_US60_SCLZZZZZZZ__.jpg,UMIDIGI A5 Pro Unlocked Mobile Phones SIM Free Dual 4G Smartphone 16MP+8MP+5MP Camera Smartphones 4150mAh Battery 6.3" FHD+ 32GB ROM 4GB RAM Android 9 Pie (Grey),Daniel Moretz,5.0 ,Well I am writing this review on my new Umidigi A5 pro'  on my new Umidigi A5pro. All in all this is a great deal on a great phone. Fully rootable' fully functional' good d*mn  phone. I have owned Sony' Motorola' Samsung' you name it. This is just as good if not better.,Reviewed in the United States on 15 December 2019
